time,x,y,z
1777586400.008171,-4.0,-1.0,22.0
1777586400.0181713,-9.0,-2.0,25.0
1777586400.0281713,-11.0,-7.0,30.0
1777586400.0381713,-9.0,-1.0,30.0
1777586400.0481713,-6.0,-3.0,23.0
1777586400.0581713,-2.0,-2.0,19.0
1777586400.0681713,2.0,-1.0,25.0
1777586400.0781713,6.0,-1.0,22.0
1777586400.0881712,9.0,1.0,19.0
1777586400.0981712,8.0,2.0,15.0
1777586400.1081717,6.0,0.0,14.0
1777586400.1181717,2.0,1.0,11.0
1777586400.1281714,2.0,4.0,13.0
1777586400.1381714,0.0,1.0,10.0
1777586400.1481714,-1.0,-1.0,10.0
1777586400.1581714,0.0,0.0,13.0
1777586400.1681714,-1.0,1.0,16.0
1777586400.1781714,-1.0,-1.0,21.0
1777586400.1881714,-6.0,-5.0,21.0
1777586400.1981714,-3.0,-4.0,28.0
1777586400.2081714,0.0,-2.0,32.0
1777586400.2181714,-1.0,-7.0,29.0
1777586400.228171,-3.0,-9.0,20.0
1777586400.238171,-5.0,-9.0,16.0
1777586400.248171,0.0,-6.0,15.0
1777586400.258171,1.0,-4.0,10.0
1777586400.2681713,1.0,-7.0,14.0
1777586400.2781713,2.0,-9.0,16.0
1777586400.2881713,6.0,-10.0,12.0
1777586400.2981713,3.0,-6.0,14.0
1777586400.3081713,5.0,-10.0,16.0
1777586400.3181713,3.0,-8.0,20.0
1777586400.3281713,0.0,-9.0,17.0
1777586400.3381712,0.0,-8.0,10.0
1777586400.3481712,-5.0,-7.0,12.0
1777586400.3581717,-5.0,-6.0,19.0
1777586400.3681717,-1.0,-6.0,24.0
1777586400.3781714,1.0,-1.0,21.0
1777586400.3881714,5.0,-2.0,16.0
1777586400.3981714,5.0,-3.0,12.0
1777586400.4081714,3.0,-2.0,11.0
1777586400.4181714,4.0,-2.0,9.0
1777586400.4281714,6.0,-3.0,10.0
1777586400.4381714,5.0,-2.0,10.0
1777586400.4481714,5.0,-2.0,13.0
1777586400.4581714,5.0,0.0,17.0
1777586400.4681714,5.0,0.0,20.0
1777586400.478171,3.0,1.0,22.0
1777586400.488171,0.0,4.0,20.0
1777586400.498171,-1.0,4.0,28.0
1777586400.508171,0.0,2.0,33.0
1777586400.5181713,5.0,1.0,32.0
1777586400.5281713,0.0,0.0,34.0
1777586400.5381713,-5.0,1.0,32.0
1777586400.5481713,-1.0,0.0,27.0
1777586400.5581713,0.0,-1.0,31.0
1777586400.5681713,0.0,0.0,33.0
1777586400.5781713,0.0,0.0,24.0
1777586400.5881712,-2.0,0.0,20.0
1777586400.5981712,-4.0,-1.0,20.0
1777586400.6081717,-6.0,3.0,16.0
1777586400.6181717,-7.0,2.0,15.0
1777586400.6281714,-5.0,4.0,15.0
1777586400.6381714,-3.0,2.0,16.0
1777586400.6481714,0.0,0.0,21.0
1777586400.6581714,2.0,2.0,14.0
1777586400.6681714,0.0,2.0,21.0
1777586400.6781714,0.0,2.0,17.0
1777586400.6881714,3.0,0.0,21.0
1777586400.6981714,1.0,4.0,20.0
1777586400.7081714,2.0,2.0,23.0
1777586400.7181714,6.0,3.0,26.0
1777586400.728171,1.0,3.0,20.0
1777586400.738171,5.0,3.0,13.0
1777586400.748171,7.0,0.0,13.0
1777586400.758171,6.0,3.0,11.0
1777586400.7681713,4.0,3.0,17.0
1777586400.7781713,4.0,2.0,16.0
1777586400.7881713,2.0,0.0,17.0
1777586400.7981713,3.0,3.0,17.0
1777586400.8081713,3.0,0.0,13.0
1777586400.8181713,-2.0,1.0,14.0
1777586400.8281713,0.0,0.0,18.0
1777586400.8381712,0.0,0.0,15.0
1777586400.8481712,1.0,-1.0,14.0
1777586400.8581717,1.0,0.0,18.0
1777586400.8681717,1.0,-3.0,22.0
1777586400.8781714,0.0,-5.0,26.0
1777586400.8881714,0.0,-6.0,20.0
1777586400.8981714,0.0,-6.0,13.0
1777586400.9081714,-7.0,-7.0,8.0
1777586400.9181714,-5.0,-7.0,11.0
1777586400.9281714,0.0,-5.0,22.0
1777586400.9381714,-4.0,-6.0,21.0
1777586400.9481714,-3.0,-3.0,19.0
1777586400.9581714,-4.0,-1.0,23.0
1777586400.9681714,-1.0,1.0,22.0
1777586400.978171,-2.0,6.0,15.0
1777586400.988171,-6.0,1.0,20.0
1777586400.998171,-3.0,1.0,25.0
1777586401.008171,0.0,2.0,19.0
1777586401.0181713,-1.0,1.0,12.0
1777586401.0281713,-2.0,0.0,9.0
1777586401.0381713,-5.0,-2.0,14.0
1777586401.0481713,0.0,-3.0,21.0
1777586401.0581713,-2.0,-7.0,25.0
1777586401.0681713,-2.0,-7.0,17.0
1777586401.0781713,0.0,-7.0,16.0
1777586401.0881712,-1.0,-7.0,21.0
1777586401.0981712,1.0,-4.0,24.0
1777586401.1081717,5.0,-2.0,22.0
1777586401.1181717,3.0,0.0,27.0
1777586401.1281714,5.0,0.0,32.0
1777586401.1381714,5.0,0.0,24.0
1777586401.1481714,3.0,0.0,21.0
1777586401.1581714,2.0,0.0,20.0
1777586401.1681714,1.0,-2.0,16.0
1777586401.1781714,0.0,-4.0,19.0
1777586401.1881714,0.0,-4.0,23.0
1777586401.1981714,2.0,-3.0,24.0
1777586401.2081714,1.0,-2.0,18.0
1777586401.2181714,-1.0,0.0,23.0
1777586401.228171,0.0,0.0,15.0
1777586401.238171,-1.0,2.0,15.0
1777586401.248171,-1.0,1.0,21.0
1777586401.258171,0.0,-4.0,21.0
1777586401.2681713,0.0,-6.0,16.0
1777586401.2781713,0.0,-3.0,18.0
1777586401.2881713,2.0,-1.0,22.0
1777586401.2981713,-2.0,2.0,28.0
1777586401.3081713,-4.0,6.0,25.0
1777586401.3181713,-5.0,7.0,21.0
1777586401.3281713,-3.0,5.0,22.0
1777586401.3381712,-1.0,1.0,24.0
1777586401.3481712,3.0,-2.0,29.0
1777586401.3581717,1.0,-2.0,26.0
1777586401.3681717,3.0,0.0,23.0
1777586401.3781714,0.0,2.0,26.0
1777586401.3881714,-3.0,-1.0,25.0
1777586401.3981714,0.0,-1.0,17.0
1777586401.4081714,-1.0,-2.0,15.0
1777586401.4181714,-1.0,-3.0,16.0
1777586401.4281714,0.0,0.0,18.0
1777586401.4381714,1.0,3.0,24.0
1777586401.4481714,1.0,0.0,24.0
1777586401.4581714,-3.0,-2.0,21.0
1777586401.4681714,-8.0,-4.0,19.0
1777586401.478171,-6.0,-10.0,15.0
1777586401.488171,-10.0,-12.0,19.0
1777586401.498171,-9.0,-3.0,15.0
1777586401.508171,-6.0,-1.0,15.0
1777586401.5181713,-1.0,-1.0,17.0
